,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
202,dev-202,I am a citizen with all legal rights.,I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality.,is enfranchisement a citizen with all legal rights?,do i have enfranchisement?,why does I am a citizen with all legal rights cause I have enfranchisement regardless of my nationality?,is enfranchisement a citizen with all legal rights?,do i have enfranchisement?,why does I am a citizen with all legal rights cause I have enfranchisement regardless of my nationality?
203,dev-203,I lack vitamin C.,My mom buys oranges for me.,Oranges have a high vitamin c content.,does my mom buy oranges for me?,what effect does my mom buy oranges for me?,why does my mom buy oranges for me?,does my mom buy oranges for me?,what effect does my mom buy oranges for me?,why does my mom buy oranges for me?
204,dev-204,Parakeets were caught by hunters in their natural environment.,Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,how were parakeets caught in their natural environment?,what is the cause of parakeets being caught by hunters?,why parakeet'their nomadic lives were broken?,how were parakeets caught in their natural environment?,what is the cause of parakeets being caught by hunters?,why parakeet'their nomadic lives were broken?
205,dev-205,Mary wants to cook in the kitchen.,Mary find the kitchen in a restaurant.,Kitchens appear in restaurants.,where does mary want to cook?,what is the cause of mary wanting to cook in the kitchen?,why does mary want to cook in a restaurant?,where does mary want to cook?,what is the cause of mary wanting to cook in the kitchen?,why does mary want to cook in a restaurant?
206,dev-206,Lucy works in a courthouse.,She can have a rest after the daytime.,Courthouses are daytime buildings.,why does Lucy works in a courthouse cause She can have a rest after the daytime?,""" lucy can lucy lucy lucy lucy?",what lucy works lucy? lucy?,why does Lucy works in a courthouse cause She can have a rest after the daytime?,""" lucy can lucy lucy lucy lucy?",what lucy works lucy? lucy?
207,dev-207,Lucy has reached her sexual maturity.,Her menstruation starts.,Menstruation starts when a female has reached sexual maturity.,when does lucy menstruate?,what is the cause of lucy's menstruation?,lucy's menstruation starts because of her sexual maturity?,when does lucy menstruate?,what is the cause of lucy's menstruation?,lucy's menstruation starts because of her sexual maturity?
208,dev-208,Tom saw a typical virago for the first time.,He was shocked.,Viragos have shocks.,what did tom do when he first saw a typical virago?,why did tom see a typical virago for the first time?,why was virago surprised?,what did tom do when he first saw a typical virago?,why did tom see a typical virago for the first time?,why was virago surprised?
209,dev-209,The percentage of oxygen is low in water.,Iguanas have difficulty in breathing.,Iguanas hold underwater breaths.,why do iguanas have trouble breathing?,what is the cause of iguanas having trouble breathing?,what do iguanas have the iguanas?,why do iguanas have trouble breathing?,what is the cause of iguanas having trouble breathing?,what do iguanas have the iguanas?
210,dev-210,The rain forest abounds with rain.,The vegetation there is exceptionally vigorous.,Rain produces vegetation growth.,why does The rain forest abounds with rain cause The vegetation there is exceptionally vigorous?,what is the effect of the rain forest?,why does The rain forest abounds with rain cause The vegetation there is exceptionally vigorous?,why does The rain forest abounds with rain cause The vegetation there is exceptionally vigorous?,what is the effect of the rain forest?,why does The rain forest abounds with rain cause The vegetation there is exceptionally vigorous?
211,dev-211,He took opium.,"His wound no longer hurts, and he fainted after being excited.",Opium primarily relieves pain raises the spirits then stupefies.,"after taking opium, what happened to his wound?",why did he faint after taking opium?,why did he faint after taking opium?,"after taking opium, what happened to his wound?",why did he faint after taking opium?,why did he faint after taking opium?
212,dev-212,Tom cut the head of the perch.,He found its jaw.,Perches have jaws.,what did tom find in the head of the perch?,why did tom cut the head of the perch?,tom cut the head of the perch?,what did tom find in the head of the perch?,why did tom cut the head of the perch?,tom cut the head of the perch?
213,dev-213,Weightlifters train very hard.,Their muscles grow fast.,Weightlifters eat enough carbohydrates.,how hard do weightlifters train?,what causes weightlifters'muscles to grow fast?,how fast do people's muscles grow?,how hard do weightlifters train?,what causes weightlifters'muscles to grow fast?,how fast do people's muscles grow?
214,dev-214,The phonetician said the sound has a high frequency.,He used the picture of its dense pulses to prove his opinion.,Pulses offer evidence.,what did the phonetician say about the sound's high frequency?,what did the phonetician say about the sound?,what did the phonetician use the picture of to prove his opinion?,what did the phonetician say about the sound's high frequency?,what did the phonetician say about the sound?,what did the phonetician use the picture of to prove his opinion?
